dim,forward_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,best_partial_minus_kl,best_l2_lambda,best_l2_reward,best_l2_minus_kl,all_ot_beat_kl
2,-0.5286900401115417,0.03,-0.17012823124726614,0.03,-0.2639356404542923,0.03,-0.1656080981095632,0.26475439965724945,0.03,-0.16390550136566162,0.3647845387458801,1
4,-0.7363608082135519,0.05,-0.3350147108236949,0.03,-0.3963128626346588,0.03,-0.3322838842868805,0.34004794557889306,0.05,-0.3290602962176005,0.40730051199595135,1
8,-0.9983214139938354,0.03,-0.6635672251383463,0.03,-0.7197883526484171,0.1,-0.6614266236623129,0.27853306134541833,0.05,-0.6570892930030823,0.3412321209907532,1
