dim,forward_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,best_partial_minus_kl,best_l2_lambda,best_l2_reward,best_l2_minus_kl,all_ot_beat_kl
2,-0.4427785972754161,0.05,-0.1661825180053711,0.03,-0.19511958956718445,0.1,-0.16444700956344604,0.24765900770823163,0.03,-0.16381960610548654,0.2789589911699295,1
4,-0.594595710436503,0.05,-0.32943472266197205,0.03,-0.3728199005126953,0.3,-0.32953767975171405,0.22177580992380774,0.05,-0.32875173290570575,0.2658439775307973,1
8,-0.8568158745765686,0.03,-0.6608443657557169,0.03,-0.7145628333091736,0.3,-0.6572139461835226,0.14225304126739502,1.0,-0.6560800075531006,0.20073586702346802,1
