dim,forward_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,best_partial_minus_kl,best_l2_lambda,best_l2_reward,best_l2_minus_kl,all_ot_beat_kl
2,-0.10355174541473389,0.03,-0.16624564925829569,0.03,-0.22004014253616333,0.03,-0.16464782257874808,-0.11648839712142944,0.05,-0.1643639157215754,-0.06081217030684152,0
4,-0.18927274147669473,0.03,-0.3341068625450134,0.03,-0.3569212853908539,0.05,-0.3290295700232188,-0.16764854391415915,0.1,-0.3300258318583171,-0.14075309038162234,0
8,-0.3616248468557994,0.05,-0.664819339911143,0.03,-0.6912393172581991,0.1,-0.6589501897493998,-0.3296144704023997,0.1,-0.658322791258494,-0.29669794440269465,0
