setting,forward_kl_mean,reverse_kl_mean,ot_method,best_lambda,best_ot_mean,gap_vs_forward_kl
q3_s5,-0.9200947999954223,-0.9790950417518616,wasserstein,0.3,-1.3491658449172974,-0.4290710449218751
q3_s5,-0.9200947999954223,-0.9790950417518616,partial_ot,0.3,-1.2649477481842042,-0.34485294818878187
q3_s5,-0.9200947999954223,-0.9790950417518616,unbalanced_ot,3.0,-0.931419563293457,-0.011324763298034668
q6_s5,-1.006283164024353,-1.1122626781463623,wasserstein,3.0,-1.3423614740371703,-0.3360783100128173
q6_s5,-1.006283164024353,-1.1122626781463623,partial_ot,0.1,-1.1125695347785949,-0.10628637075424185
q6_s5,-1.006283164024353,-1.1122626781463623,unbalanced_ot,0.1,-0.8845036029815674,0.12177956104278564
