dim,forward_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,best_partial_minus_kl,best_l2_lambda,best_l2_reward,best_l2_minus_kl,all_ot_beat_kl
2,-0.4686759610970815,0.03,-0.1688586970170339,0.03,-0.2216670165459315,0.03,-0.16532321274280548,0.24700894455115,0.03,-0.16390214363733926,0.3047738174597422,1
4,-0.583135704199473,0.05,-0.3324290414651235,0.03,-0.35450929403305054,0.03,-0.33197734753290814,0.2286264101664225,0.05,-0.3290489713350932,0.2540867328643798,1
8,-0.9251073598861694,0.03,-0.6623809337615967,0.03,-0.6859080592791239,0.1,-0.6600329081217448,0.23919930060704553,0.05,-0.6572917302449545,0.26781562964121497,1
