dim,forward_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,best_partial_minus_kl,best_l2_lambda,best_l2_reward,best_l2_minus_kl,all_ot_beat_kl
2,-0.5749555230140686,0.03,-0.16605584820111594,0.03,-0.32675159970919293,0.05,-0.16429024934768677,0.24820392330487567,0.03,-0.1646216114362081,0.4103339115778605,1
4,-0.860157827536265,0.05,-0.33134474356969196,0.03,-0.525329053401947,0.05,-0.3311385711034139,0.334828774134318,0.03,-0.3307218949000041,0.529435932636261,1
8,-1.235435167948405,0.05,-0.6606958111127218,0.03,-0.8810738325119019,0.1,-0.6584743062655131,0.35436133543650317,0.03,-0.6596010128657023,0.5758341550827027,1
