dim,forward_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,all_ot_beat_kl
3,-0.47506047288576764,0.03,-0.11267870664596558,0.03,-0.11069696148236592,0.05,-0.11115970214207967,1
4,-0.5264660020669302,0.03,-0.14960530896981558,0.05,-0.14716611802577972,0.05,-0.14786378542582193,1
5,-0.5782937506834666,0.03,-0.18720479806264242,0.03,-0.18397323290506998,0.03,-0.18454917271931967,1
8,-0.6730951070785522,0.03,-0.2976859708627065,0.03,-0.2951251169045766,0.1,-0.29608646035194397,1
