method,lambda,n_seeds,mean_reward_mean,mean_reward_std,mean_reward_stderr,good_mode_recall_mean,good_mode_recall_std,good_mode_recall_stderr
bc,1.0,5,-6.437509965896607,2.98784568540102,1.3362052117672263,0.0,0.0,0.0
forward_kl,1.0,5,-1.4055480718612672,0.12626831947761827,0.056468909151323035,0.5333333333333333,0.33993463423951903,0.1520233900132184
partial_ot,0.05,5,-0.9924408793449402,0.25983192899842217,0.11620037119307415,1.0,0.0,0.0
partial_ot,0.1,5,-1.0786535620689393,0.09324978756124525,0.041702572774871736,1.0,0.0,0.0
partial_ot,0.3,5,-1.0877453684806824,0.0817660742204586,0.03656690004204771,1.0,0.0,0.0
partial_ot,1.0,5,-0.9084001183509827,0.06966365068743774,0.031154531699582145,1.0,0.0,0.0
partial_ot,3.0,5,-1.0603423953056335,0.17512879493289893,0.07831997805751655,1.0,0.0,0.0
partial_ot,10.0,5,-1.1481553673744203,0.3680403843768813,0.16459266358637162,1.0,0.0,0.0
reverse_kl,1.0,5,-1.9215134620666503,0.20319466657924493,0.09087141742731926,0.13333333333333333,0.1632993161855452,0.07302967433402213
unbalanced_ot,0.05,5,-0.8184774279594421,0.10993420577344232,0.04916407143237337,0.9333333333333332,0.13333333333333336,0.059628479399994404
unbalanced_ot,0.1,5,-0.8093913435935974,0.07830037125390263,0.03501699055743934,0.8666666666666666,0.16329931618554522,0.07302967433402215
unbalanced_ot,0.3,5,-0.7552076578140259,0.047347980644685504,0.02117466066377222,0.9333333333333332,0.13333333333333336,0.059628479399994404
unbalanced_ot,1.0,5,-0.8240305542945862,0.05027270193795277,0.02248263578916956,1.0,0.0,0.0
unbalanced_ot,3.0,5,-0.8341426372528076,0.06166718272229298,0.02757840250958953,0.7999999999999999,0.16329931618554522,0.07302967433402215
unbalanced_ot,10.0,5,-0.776652991771698,0.0684488628468262,0.030611262061612632,0.7333333333333333,0.13333333333333336,0.059628479399994404
wasserstein,0.05,5,-1.3386134147644042,0.011705444554316564,0.005234833946061313,0.6,0.24944382578492943,0.1115546702045434
wasserstein,0.1,5,-1.2612723112106323,0.11146856171318227,0.04985025626896119,0.4666666666666666,0.1632993161855452,0.07302967433402213
wasserstein,0.3,5,-1.32302668094635,0.07158728467987019,0.0320148069737638,0.39999999999999997,0.3265986323710904,0.14605934866804426
wasserstein,1.0,5,-1.2806966066360475,0.07706414941506887,0.03446413534405893,0.4666666666666666,0.2666666666666667,0.11925695879998881
wasserstein,3.0,5,-1.287327265739441,0.05916995273285797,0.026461607307223974,0.3333333333333333,0.0,0.0
wasserstein,10.0,5,-1.3004648447036744,0.09578129285935037,0.042834696361264524,0.39999999999999997,0.13333333333333333,0.05962847939999439
