dim,forward_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,best_partial_minus_kl,best_l2_lambda,best_l2_reward,best_l2_minus_kl,all_ot_beat_kl
2,-0.5614480376243591,0.03,-0.16999246180057526,0.03,-0.26074665784835815,0.03,-0.16562786201635996,0.300701379776001,0.03,-0.1644087185462316,0.3970393190781275,1
4,-0.714506983757019,0.05,-0.3347286880016327,0.03,-0.39230795701344806,0.03,-0.3323070506254832,0.322199026743571,0.03,-0.3275648355484009,0.38694214820861816,1
8,-0.8950110077857971,0.03,-0.6634332537651062,0.03,-0.7161696553230286,0.1,-0.6615172823270162,0.17884135246276855,0.05,-0.6582133173942566,0.23679769039154053,1
