scenario,modality,q_quality,dim,forward_kl_mean_reward,best_wasserstein_reward,best_partial_reward,best_unbalanced_reward,best_l2_reward,best_ot_minus_kl,best_pot_minus_kl,best_l2_minus_kl,all_ot_beat_kl
baseline,low,clean,2,-0.10436764856179555,-0.16438153386116028,-0.195235475897789,-0.16439939538637796,-0.16430571675300598,-0.06001388529936473,-0.09086782733599345,-0.059938068191210433,0
baseline,low,clean,4,-0.19335384170214334,-0.331535001595815,-0.3738718231519063,-0.32781825462977093,-0.33029382427533466,-0.1344644129276276,-0.18051798144976297,-0.13693998257319132,0
baseline,low,clean,8,-0.3713521460692088,-0.6591456731160482,-0.7180725336074829,-0.6561373273531595,-0.658337394396464,-0.28478518128395075,-0.3467203875382741,-0.2869852483272552,0
baseline,low,mid,2,-0.1845585803190867,-0.1656956970691681,-0.197475994626681,-0.16357714434464773,-0.164063091079394,0.020981435974438967,-0.0129174143075943,0.020495489239692688,0
baseline,low,mid,4,-0.3245701193809509,-0.3306668698787689,-0.3741100033124288,-0.3298106590906779,-0.33019954959551495,-0.005240539709726988,-0.049539883931477846,-0.005629430214564024,0
baseline,low,mid,8,-0.4996154109636943,-0.6604356567064921,-0.7192556858062744,-0.6565836866696676,-0.6589007576306661,-0.15696827570597333,-0.21964027484258014,-0.15928534666697186,0
baseline,low,noisy,2,-0.3501809736092885,-0.1661825180053711,-0.19511958956718445,-0.16444700956344604,-0.1643504003683726,0.18573396404584247,0.15506138404210407,0.18583057324091592,1
baseline,low,noisy,4,-0.5475263098875681,-0.32943472266197205,-0.3728199005126953,-0.32953767975171405,-0.32758091886838275,0.21809158722559607,0.1747064093748728,0.21994539101918537,1
baseline,low,noisy,8,-0.899113655090332,-0.6608443657557169,-0.7145628333091736,-0.6572139461835226,-0.658189058303833,0.24189970890680945,0.18455082178115845,0.24092459678649902,1
baseline,mid,clean,2,-0.10355174541473389,-0.16624564925829569,-0.22004014253616333,-0.16464782257874808,-0.1643639157215754,-0.06109607716401419,-0.11648839712142944,-0.06081217030684152,0
baseline,mid,clean,4,-0.18927274147669473,-0.3341068625450134,-0.3569212853908539,-0.3290295700232188,-0.3300258318583171,-0.13975682854652408,-0.16764854391415915,-0.14075309038162234,0
baseline,mid,clean,8,-0.3616248468557994,-0.664819339911143,-0.6912393172581991,-0.6589501897493998,-0.658322791258494,-0.2973253428936004,-0.3296144704023997,-0.29669794440269465,0
baseline,mid,mid,2,-0.2742825746536255,-0.1673708955446879,-0.22732789814472198,-0.1640835553407669,-0.16447177032629648,0.11019901931285858,0.0469546765089035,0.10981080432732901,1
baseline,mid,mid,4,-0.3445044259230296,-0.3337067166964213,-0.3586256404717763,-0.33103976647059125,-0.33039402961730957,0.013464659452438354,-0.014121214548746708,0.01411039630572003,0
