dim,forward_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,best_partial_minus_kl,best_l2_lambda,best_l2_reward,best_l2_minus_kl,all_ot_beat_kl
2,-0.3501809736092885,0.05,-0.1661825180053711,0.03,-0.19511958956718445,0.1,-0.16444700956344604,0.15506138404210407,0.03,-0.1643504003683726,0.18583057324091592,1
4,-0.5475263098875681,0.05,-0.32943472266197205,0.03,-0.3728199005126953,0.3,-0.32953767975171405,0.1747064093748728,0.03,-0.32758091886838275,0.21994539101918537,1
8,-0.899113655090332,0.03,-0.6608443657557169,0.03,-0.7145628333091736,0.3,-0.6572139461835226,0.18455082178115845,0.05,-0.658189058303833,0.24092459678649902,1
