method,lambda,n_seeds,mean_reward_mean,mean_reward_std,mean_reward_stderr
bc,1.0,5,-6.2228247165679935,3.19987044745486,1.4310255679403472
forward_kl,1.0,5,-0.9200947999954223,0.048422298351229826,0.021655110148025174
partial_ot,0.1,5,-1.2957717061042786,0.3052098025963501,0.1364939732009461
partial_ot,0.3,5,-1.2649477481842042,0.29244935609689793,0.13078732804174126
partial_ot,1.0,5,-1.422851014137268,0.2898541143088756,0.12962670063052806
partial_ot,3.0,5,-1.3387147665023804,0.41696782900344487,0.1864736820164422
partial_ot,10.0,5,-1.4548737049102782,0.2511490556298371,0.11231727217463838
reverse_kl,1.0,5,-0.9790950417518616,0.03669391250366769,0.01641001654372609
unbalanced_ot,0.1,5,-0.9507996916770936,0.053561825726328144,0.023953576664613355
unbalanced_ot,0.3,5,-0.9489702343940735,0.11944922607898108,0.05341931787446847
unbalanced_ot,1.0,5,-0.9780430674552918,0.07218634175724417,0.03228271344324592
unbalanced_ot,3.0,5,-0.931419563293457,0.10008543308039464,0.04475956638505371
unbalanced_ot,10.0,5,-0.9903531432151794,0.09718023614196876,0.04346032281658481
wasserstein,0.1,5,-1.430292010307312,0.15218282456427135,0.0680582281467271
wasserstein,0.3,5,-1.3491658449172974,0.06733192302365636,0.030111751387335756
wasserstein,1.0,5,-1.400287675857544,0.0639532870523709,0.028600779446731693
wasserstein,3.0,5,-1.3658951759338378,0.1583356064195881,0.07080983584257021
wasserstein,10.0,5,-1.4153939485549927,0.04443456395045682,0.01987174110875661
