seed,method,method_label,lambda,mean_reward,good_mode_recall,final_loss,is_baseline
1,unbalanced_ot,Unbalanced OT,0.05,-0.8605164289474487,1.0,0.9473679445006631,0
1,wasserstein,Wasserstein,0.1,-1.4445669651031494,0.3333333333333333,1.3785421523180874,0
1,partial_ot,Partial OT,0.1,-1.8936333656311035,1.0,1.7834217006509954,0
1,unbalanced_ot,Unbalanced OT,0.1,-0.7981875538825989,0.3333333333333333,0.7645999111912467,0
1,wasserstein,Wasserstein,0.3,-1.3049583435058594,0.3333333333333333,1.5367571657354182,0
1,partial_ot,Partial OT,0.3,-1.47086763381958,1.0,1.3975386944684116,0
1,unbalanced_ot,Unbalanced OT,0.3,-0.7883042097091675,1.0,0.9545898220755837,0
1,wasserstein,Wasserstein,1.0,-1.2725955247879028,0.3333333333333333,2.3215774406086314,0
1,partial_ot,Partial OT,1.0,-1.0404671430587769,1.0,1.0869850462133235,0
1,unbalanced_ot,Unbalanced OT,1.0,-0.7114805579185486,1.0,1.2699415683746338,0
1,wasserstein,Wasserstein,3.0,-1.1709225177764893,0.6666666666666666,3.917066205631603,0
1,partial_ot,Partial OT,3.0,-2.4323511123657227,1.0,2.6137923435731367,0
1,unbalanced_ot,Unbalanced OT,3.0,-0.7889608144760132,1.0,2.6953610506924717,0
1,wasserstein,Wasserstein,10.0,-1.12800931930542,0.6666666666666666,10.74263182553378,0
1,partial_ot,Partial OT,10.0,-1.6819183826446533,1.0,1.9310114058581265,0
1,unbalanced_ot,Unbalanced OT,10.0,-0.9549890756607056,0.6666666666666666,7.681311000477184,0
2,bc,BC,1.0,-3.3488008975982666,0.0,1.6832689480348066,1
2,forward_kl,Forward KL,1.0,-0.4845302700996399,1.0,0.7436253374273126,1
2,reverse_kl,Reverse KL,1.0,-0.5911773443222046,1.0,1.1186139637773687,1
2,wasserstein,Wasserstein,0.05,-1.2663402557373047,1.0,1.3799831758845935,0
2,partial_ot,Partial OT,0.05,-1.894771933555603,1.0,1.7608306407928467,0
2,unbalanced_ot,Unbalanced OT,0.05,-0.718034029006958,1.0,0.7909326228228483,0
2,wasserstein,Wasserstein,0.1,-1.4678066968917847,0.3333333333333333,1.4506994702599265,0
2,partial_ot,Partial OT,0.1,-1.9435691833496094,1.0,2.0101333639838477,0
2,unbalanced_ot,Unbalanced OT,0.1,-0.7503430843353271,1.0,0.8084872581742026,0
2,wasserstein,Wasserstein,0.3,-1.3166577816009521,0.6666666666666666,1.5962444435466419,0
2,partial_ot,Partial OT,0.3,-0.8239336013793945,1.0,0.8800268173217773,0
2,unbalanced_ot,Unbalanced OT,0.3,-0.8653689622879028,0.6666666666666666,1.0654536377299915,0
2,wasserstein,Wasserstein,1.0,-1.201649785041809,0.3333333333333333,2.13293964212591,0
2,partial_ot,Partial OT,1.0,-1.6981390714645386,1.0,1.7332631349563599,0
2,unbalanced_ot,Unbalanced OT,1.0,-0.7781324982643127,1.0,1.4189898534254595,0
2,wasserstein,Wasserstein,3.0,-1.328932285308838,0.6666666666666666,4.4352171421051025,0
2,partial_ot,Partial OT,3.0,-1.64310622215271,1.0,1.7635988322171299,0
2,unbalanced_ot,Unbalanced OT,3.0,-0.7717872858047485,1.0,2.881013350053267,0
2,wasserstein,Wasserstein,10.0,-1.407886266708374,0.3333333333333333,12.47543681751598,0
2,partial_ot,Partial OT,10.0,-2.300668478012085,1.0,2.746322761882435,0
2,unbalanced_ot,Unbalanced OT,10.0,-0.8220929503440857,0.6666666666666666,7.238806334408847,0
3,bc,BC,1.0,-4.104055404663086,0.0,1.6131639588962903,1
3,forward_kl,Forward KL,1.0,-0.4679378271102905,1.0,0.7711854116483168,1
3,reverse_kl,Reverse KL,1.0,-0.4222448170185089,1.0,0.7827007716352289,1
3,wasserstein,Wasserstein,0.05,-1.2109750509262085,0.3333333333333333,1.3309335816990246,0
3,partial_ot,Partial OT,0.05,-1.0945560932159424,1.0,1.0243999849666248,0
3,unbalanced_ot,Unbalanced OT,0.05,-1.0605202913284302,0.3333333333333333,0.9486167322505604,0
3,wasserstein,Wasserstein,0.1,-1.280970573425293,0.3333333333333333,1.3712861971421675,0
3,partial_ot,Partial OT,0.1,-1.5136466026306152,1.0,1.6003263538533992,0
3,unbalanced_ot,Unbalanced OT,0.1,-0.9050822257995605,1.0,0.9079261909831654,0
3,wasserstein,Wasserstein,0.3,-1.2234851121902466,0.3333333333333333,1.560707222331654,0
3,partial_ot,Partial OT,0.3,-1.66337251663208,1.0,1.5888957218690352,0
3,unbalanced_ot,Unbalanced OT,0.3,-0.798973023891449,0.6666666666666666,0.9207379817962646,0
3,wasserstein,Wasserstein,1.0,-1.177056074142456,0.3333333333333333,2.437888904051347,0
3,partial_ot,Partial OT,1.0,-1.548986554145813,1.0,1.5664768760854548,0
3,unbalanced_ot,Unbalanced OT,1.0,-0.6685975193977356,1.0,1.4478522430766712,0
3,wasserstein,Wasserstein,3.0,-1.230684757232666,0.3333333333333333,4.435827233574607,0
3,partial_ot,Partial OT,3.0,-1.9978537559509277,1.0,2.0715979771180586,0
3,unbalanced_ot,Unbalanced OT,3.0,-0.763996958732605,0.6666666666666666,2.817762765017423,0
3,wasserstein,Wasserstein,10.0,-1.3827812671661377,0.3333333333333333,12.078670328313654,0
3,partial_ot,Partial OT,10.0,-2.1644062995910645,1.0,2.263691371137446,0
3,unbalanced_ot,Unbalanced OT,10.0,-0.8534001708030701,1.0,7.258907534859397,0
4,bc,BC,1.0,-4.798031806945801,0.0,1.6389812556180088,1
4,forward_kl,Forward KL,1.0,-0.44386768341064453,1.0,1.1328022798353976,1
4,reverse_kl,Reverse KL,1.0,-0.4708559513092041,1.0,0.9845458648421548,1
4,wasserstein,Wasserstein,0.05,-1.2780406475067139,0.6666666666666666,1.279833663593639,0
4,partial_ot,Partial OT,0.05,-1.492458701133728,1.0,1.5352403033863415,0
4,unbalanced_ot,Unbalanced OT,0.05,-0.7326385974884033,1.0,0.7583308870142157,0
4,wasserstein,Wasserstein,0.1,-1.134153962135315,1.0,1.3444240526719526,0
4,partial_ot,Partial OT,0.1,-1.149966835975647,1.0,1.2152173627506604,0
4,unbalanced_ot,Unbalanced OT,0.1,-0.7567077875137329,1.0,0.9650679501620206,0
4,wasserstein,Wasserstein,0.3,-1.3559962511062622,0.3333333333333333,1.488005984913219,0
4,partial_ot,Partial OT,0.3,-1.5659141540527344,1.0,1.3930496085773816,0
4,unbalanced_ot,Unbalanced OT,0.3,-0.9073417782783508,1.0,1.0992986993356184,0
4,wasserstein,Wasserstein,1.0,-1.4218918085098267,0.3333333333333333,2.4281171668659556,0
4,partial_ot,Partial OT,1.0,-1.2965837717056274,1.0,1.2193878130479292,0
4,unbalanced_ot,Unbalanced OT,1.0,-0.8194388747215271,1.0,1.5682217966426502,0
4,wasserstein,Wasserstein,3.0,-1.2681673765182495,0.3333333333333333,3.866872028871016,0
4,partial_ot,Partial OT,3.0,-2.242281436920166,1.0,2.297273711724715,0
4,unbalanced_ot,Unbalanced OT,3.0,-0.7378906011581421,1.0,2.6544712023301558,0
4,wasserstein,Wasserstein,10.0,-1.250678300857544,0.6666666666666666,11.73194391077215,0
4,partial_ot,Partial OT,10.0,-1.4842201471328735,1.0,1.6229193102229724,0
4,unbalanced_ot,Unbalanced OT,10.0,-0.8067693114280701,1.0,7.520257212898948,0
