dim,forward_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,best_partial_minus_kl,best_l2_lambda,best_l2_reward,best_l2_minus_kl,all_ot_beat_kl
2,-0.19734702507654825,0.03,-0.16473734378814697,0.03,-0.32299062609672546,0.03,-0.16469486554463705,-0.12564360102017721,0.05,-0.16472985843817392,0.03261716663837433,0
4,-0.4138655463854472,0.05,-0.3321973482767741,0.03,-0.5146225094795227,0.05,-0.32909587025642395,-0.1007569630940755,0.03,-0.3321872353553772,0.08167831103007,0
8,-0.9156406919161478,0.1,-0.660818080107371,0.03,-0.8786881566047668,0.1,-0.6589950720469157,0.036952535311380985,0.03,-0.6585827469825745,0.25705794493357337,1
