dim,forward_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,best_partial_minus_kl,best_l2_lambda,best_l2_reward,best_l2_minus_kl,all_ot_beat_kl
2,-0.34478195508321124,0.03,-0.16846424341201782,0.03,-0.2713906566301982,0.05,-0.16454888383547464,0.07339129845301307,0.03,-0.16459304094314575,0.1801889141400655,1
4,-0.4294487436612447,0.03,-0.3358008563518524,0.03,-0.39578046401341754,0.05,-0.33163804809252423,0.03366827964782715,0.1,-0.33026790618896484,0.09918083747227985,1
8,-0.5893052021662394,0.05,-0.6653902530670166,0.03,-0.7205673456192017,0.1,-0.6597879528999329,-0.13126214345296228,0.03,-0.6594018538792928,-0.07009665171305346,0
