dim,forward_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,best_partial_minus_kl,best_l2_lambda,best_l2_reward,best_l2_minus_kl,all_ot_beat_kl
2,-0.7102748354276022,0.03,-0.16749770442644754,0.03,-0.44201305508613586,0.05,-0.16434081395467123,0.2682617803414663,0.03,-0.16452127695083618,0.545753558476766,1
4,-0.8857571482658386,0.05,-0.33396350344022113,0.03,-0.642183264096578,0.05,-0.33126723766326904,0.24357388416926062,0.03,-0.3306104938189189,0.5551466544469197,1
8,-1.235450267791748,0.05,-0.6631939808527628,0.03,-0.9407802621523539,0.1,-0.6588552196820577,0.29467000563939416,0.03,-0.659461239973704,0.5759890278180441,1
