dim,forward_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,best_partial_minus_kl,best_l2_lambda,best_l2_reward,best_l2_minus_kl,all_ot_beat_kl
2,-0.10436764856179555,0.05,-0.16438153386116028,0.03,-0.195235475897789,0.03,-0.16439939538637796,-0.09086782733599345,0.05,-0.16430571675300598,-0.059938068191210433,0
4,-0.19335384170214334,0.05,-0.331535001595815,0.03,-0.3738718231519063,0.1,-0.32781825462977093,-0.18051798144976297,0.1,-0.33029382427533466,-0.13693998257319132,0
8,-0.3713521460692088,0.1,-0.6591456731160482,0.03,-0.7180725336074829,0.3,-0.6561373273531595,-0.3467203875382741,0.1,-0.658337394396464,-0.2869852483272552,0
