dim,forward_kl_mean_reward,best_wasserstein_lambda,best_wasserstein_reward,best_partial_lambda,best_partial_reward,best_unbalanced_lambda,best_unbalanced_reward,best_partial_minus_kl,best_l2_lambda,best_l2_reward,best_l2_minus_kl,all_ot_beat_kl
2,-0.39258260528246564,0.03,-0.1687394082546234,0.03,-0.24051870902379355,0.03,-0.16533962885538736,0.1520638962586721,0.03,-0.16436120371023813,0.2282214015722275,1
4,-0.6298681497573853,0.05,-0.3321930567423503,0.03,-0.36643746495246887,0.03,-0.33199923237164813,0.2634306848049164,0.03,-0.3274546464284261,0.30241350332895917,1
8,-0.8546494841575623,0.03,-0.6622614661852518,0.03,-0.6934352914492289,0.1,-0.6601034998893738,0.16121419270833337,0.05,-0.6581891973813375,0.19646028677622474,1
