seed,method,method_label,lambda,mean_reward,good_mode_recall,final_loss,is_baseline
1,partial_ot,Partial OT,0.1,-1.0722498893737793,1.0,1.162308687513525,0
1,unbalanced_ot,Unbalanced OT,0.1,-0.7592839598655701,0.6666666666666666,0.6630292765118859,0
1,wasserstein,Wasserstein,0.3,-1.3485066890716553,0.3333333333333333,1.577922907742587,0
1,partial_ot,Partial OT,0.3,-1.0639324188232422,1.0,1.1115008037198673,0
1,unbalanced_ot,Unbalanced OT,0.3,-0.7264396548271179,1.0,0.8701037439433011,0
1,wasserstein,Wasserstein,1.0,-1.3134486675262451,0.3333333333333333,2.380727854642001,0
1,partial_ot,Partial OT,1.0,-0.9282686710357666,1.0,0.7952117588032376,0
1,unbalanced_ot,Unbalanced OT,1.0,-0.8392618298530579,1.0,1.1913241093808955,0
1,wasserstein,Wasserstein,3.0,-1.387420654296875,0.3333333333333333,4.238633090799505,0
1,partial_ot,Partial OT,3.0,-1.0178277492523193,1.0,1.1167674620043149,0
1,unbalanced_ot,Unbalanced OT,3.0,-0.9061175584793091,0.6666666666666666,3.234791495583274,0
1,wasserstein,Wasserstein,10.0,-1.4023429155349731,0.3333333333333333,12.10793434489857,0
1,partial_ot,Partial OT,10.0,-0.786340057849884,1.0,1.4473061995072798,0
1,unbalanced_ot,Unbalanced OT,10.0,-0.6872967481613159,0.6666666666666666,6.607105471871116,0
2,bc,BC,1.0,-3.3488008975982666,0.0,1.6832689480348066,1
2,forward_kl,Forward KL,1.0,-1.401571273803711,0.0,2.301667641509663,1
2,reverse_kl,Reverse KL,1.0,-1.8873655796051025,0.0,1.6720744588158347,1
2,wasserstein,Wasserstein,0.05,-1.3204880952835083,0.6666666666666666,1.6850298588926143,0
2,partial_ot,Partial OT,0.05,-0.9198504090309143,1.0,0.8192077739672228,0
2,unbalanced_ot,Unbalanced OT,0.05,-0.7513701319694519,1.0,1.0020486333153464,0
2,wasserstein,Wasserstein,0.1,-1.2451865673065186,0.3333333333333333,1.3690636510198766,0
2,partial_ot,Partial OT,0.1,-1.0802202224731445,1.0,1.2182217023589395,0
2,unbalanced_ot,Unbalanced OT,0.1,-0.9425120949745178,1.0,0.822021561590108,0
2,wasserstein,Wasserstein,0.3,-1.338490605354309,0.3333333333333333,1.514207818291404,0
2,partial_ot,Partial OT,0.3,-0.9481764435768127,1.0,1.2612718452106824,0
2,unbalanced_ot,Unbalanced OT,0.3,-0.8144083619117737,0.6666666666666666,1.0781645666469226,0
2,wasserstein,Wasserstein,1.0,-1.3769769668579102,0.3333333333333333,1.986728223887357,0
2,partial_ot,Partial OT,1.0,-1.0103753805160522,1.0,0.9033268927173181,0
2,unbalanced_ot,Unbalanced OT,1.0,-0.8533449172973633,1.0,1.9139602184295654,0
2,wasserstein,Wasserstein,3.0,-1.2339836359024048,0.3333333333333333,4.223400115966797,0
2,partial_ot,Partial OT,3.0,-0.9890431761741638,1.0,1.589727338742126,0
2,unbalanced_ot,Unbalanced OT,3.0,-0.8969287276268005,0.6666666666666666,2.9949828711423008,0
2,wasserstein,Wasserstein,10.0,-1.2769701480865479,0.3333333333333333,11.522541132840244,0
2,partial_ot,Partial OT,10.0,-1.0165597200393677,1.0,1.1436218131672253,0
2,unbalanced_ot,Unbalanced OT,10.0,-0.8221409320831299,0.6666666666666666,7.042234897613525,0
3,bc,BC,1.0,-4.104055404663086,0.0,1.6131639588962903,1
3,forward_kl,Forward KL,1.0,-1.2726259231567383,0.6666666666666666,2.0070006413893267,1
3,reverse_kl,Reverse KL,1.0,-1.5873433351516724,0.3333333333333333,2.106307018886913,1
3,wasserstein,Wasserstein,0.05,-1.3426998853683472,0.3333333333333333,1.4950066696513782,0
3,partial_ot,Partial OT,0.05,-0.9059798717498779,1.0,0.6459293121641333,0
3,unbalanced_ot,Unbalanced OT,0.05,-1.0316898822784424,0.6666666666666666,0.9499515030871738,0
3,wasserstein,Wasserstein,0.1,-1.1382976770401,0.6666666666666666,0.8997228071093559,0
3,partial_ot,Partial OT,0.1,-1.1116037368774414,1.0,1.4551610404794866,0
3,unbalanced_ot,Unbalanced OT,0.1,-0.7336190342903137,0.6666666666666666,0.5960929403928193,0
3,wasserstein,Wasserstein,0.3,-1.2679119110107422,0.3333333333333333,1.493172656406056,0
3,partial_ot,Partial OT,0.3,-1.1304188966751099,1.0,1.3086173710497944,0
3,unbalanced_ot,Unbalanced OT,0.3,-0.8109047412872314,1.0,0.9530005387284539,0
3,wasserstein,Wasserstein,1.0,-1.1497540473937988,0.3333333333333333,2.3811854882673784,0
3,partial_ot,Partial OT,1.0,-0.8558080792427063,1.0,0.8325768925926902,0
3,unbalanced_ot,Unbalanced OT,1.0,-0.8539792895317078,1.0,1.5805473977869207,0
3,wasserstein,Wasserstein,3.0,-1.2227648496627808,0.3333333333333333,4.510265111923218,0
3,partial_ot,Partial OT,3.0,-1.3480205535888672,1.0,1.671911055391485,0
3,unbalanced_ot,Unbalanced OT,3.0,-0.8144950866699219,0.6666666666666666,2.9499340707605537,0
3,wasserstein,Wasserstein,10.0,-1.1323695182800293,0.6666666666666666,11.413475860248912,0
3,partial_ot,Partial OT,10.0,-1.0909059047698975,1.0,1.5984020991758867,0
3,unbalanced_ot,Unbalanced OT,10.0,-0.8737807869911194,1.0,7.458622108806264,0
4,bc,BC,1.0,-4.798031806945801,0.0,1.6389812556180088,1
4,forward_kl,Forward KL,1.0,-1.2808507680892944,0.3333333333333333,1.697198591449044,1
4,reverse_kl,Reverse KL,1.0,-2.167975664138794,0.0,2.1251726258884776,1
4,wasserstein,Wasserstein,0.05,-1.3547106981277466,0.6666666666666666,1.3194400017911738,0
4,partial_ot,Partial OT,0.05,-1.4957196712493896,1.0,1.4779773164879193,0
4,unbalanced_ot,Unbalanced OT,0.05,-0.7648459672927856,1.0,0.6129067685793747,0
4,wasserstein,Wasserstein,0.1,-1.1932419538497925,0.6666666666666666,1.5296279300342908,0
4,partial_ot,Partial OT,0.1,-0.9197638630867004,1.0,1.2084202590313824,0
4,unbalanced_ot,Unbalanced OT,0.1,-0.8540160059928894,1.0,1.124949965964664,0
4,wasserstein,Wasserstein,0.3,-1.4340286254882812,0.0,1.4581287530335514,0
4,partial_ot,Partial OT,0.3,-1.1943360567092896,1.0,1.3450214320963079,0
4,unbalanced_ot,Unbalanced OT,0.3,-0.717865526676178,1.0,1.2931375937028364,0
4,wasserstein,Wasserstein,1.0,-1.3148483037948608,1.0,2.3243894577026367,0
4,partial_ot,Partial OT,1.0,-0.809324324131012,1.0,0.7280723384835504,0
4,unbalanced_ot,Unbalanced OT,1.0,-0.8495279550552368,1.0,1.4194875657558441,0
4,wasserstein,Wasserstein,3.0,-1.3087682723999023,0.3333333333333333,4.180546717210249,0
4,partial_ot,Partial OT,3.0,-0.8175476789474487,1.0,1.090934612534263,0
4,unbalanced_ot,Unbalanced OT,3.0,-0.8145341873168945,1.0,2.5161578438498755,0
4,wasserstein,Wasserstein,10.0,-1.3088586330413818,0.3333333333333333,10.609282753684305,0
4,partial_ot,Partial OT,10.0,-0.9909639358520508,1.0,1.3327970260923558,0
4,unbalanced_ot,Unbalanced OT,10.0,-0.7145236134529114,0.6666666666666666,7.378720803694292,0
